Topic,Words
0,"কথা, হয়ে, করিয়া, দিয়ে, একটা, এক, হইয়া, যায়, নে, নি"
1,"বললে, দিয়ে, অমিত, একটা, হয়ে, কথা, এক, লাবণ্য, যায়, বললুম"
2,"করিয়া, কথা, হয়ে, হইয়া, একটা, কহিলেন, এক, কহিল, ভালো, বলিয়া"
3,"কথা, হয়ে, একটা, ভাই, জন্যে, ভালো, একটু, রসিকবাবু, আপনাদের, নি"
4,"কথা, করিয়া, হয়ে, এক, কহিলেন, হইয়া, একটা, দিয়ে, বড়ো, নি"
5,"কথা, করিয়া, হয়ে, একটা, কহিলেন, বললে, দিয়ে, এক, তাঁহার, হইয়া"
6,"হয়ে, কথা, একটা, দিয়ে, বললে, বললুম, নি, এক, বড়ো, নে"
7,"করিয়া, কথা, হইয়া, কহিলেন, একটা, হয়ে, দিয়ে, তাঁহার, কেবল, হইল"
8,"কথা, করিয়া, হয়ে, দিয়ে, একটা, নি, বড়ো, একটু, বললে, নে"
9,"কাজকরা, প্যাম্ফ্, হোটেলেই, আছেঅমিত, তাজমহলের, কথা, বললে, হয়ে, এক, দিয়ে"
10,"একটা, কথা, করিয়া, দিয়ে, বড়ো, হয়ে, কহিলেন, নে, এক, বললে"
11,"করিয়া, কথা, হইয়া, কহিলেন, একটা, কহিল, হয়ে, বলিয়া, এক, তাঁহার"
12,"হয়ে, কথা, একটা, বললে, নি, দিয়ে, সময়, নে, জন্যে, যায়"
13,"কথা, ভাই, বিয়ে, হয়ে, তোর, নে, একটা, ভালো, তুই, নি"
14,"করিয়া, হইয়া, কহিলেন, তাঁহার, কথা, বলিয়া, হইল, লইয়া, দিয়া, লাগিল"
15,"একটা, কথা, করিয়া, হয়ে, নি, দিয়ে, যায়, এক, নে, বললে"
16,"কথা, একটা, হয়ে, করিয়া, দিয়ে, হইয়া, যায়, নি, কহিলেন, নে"
17,"করিয়া, কথা, হয়ে, হইয়া, দিয়ে, একটা, কহিলেন, নি, এক, তাঁহার"
18,"কথা, একটা, করিয়া, হয়ে, হইয়া, দিয়ে, নি, এক, ভাই, বললে"
19,"কথা, করিয়া, হয়ে, একটা, হইয়া, কহিলেন, দিয়ে, তাঁহার, বললে, যায়"
20,"কথা, হয়ে, একটা, করিয়া, দিয়ে, বললে, কহিলেন, নে, এক, যায়"
21,"একটা, করিয়া, কথা, হয়ে, হইয়া, দিয়ে, কহিলেন, বললে, নে, যায়"
22,"হয়ে, কথা, বললে, দিয়ে, তোমাকে, রাজা, নি, নে, একটা, জন্যে"
23,"করিয়া, কহিলেন, কহিল, হইয়া, তাঁহার, রায়, বিভা, বলিয়া, কথা, হইল"
24,"করিয়া, কথা, হয়ে, একটা, হইয়া, কহিলেন, দিয়ে, বললে, এক, নি"
25,"কথা, মহারাজ, মহারানী, রাজার, করো, তোমাদের, তোমাকে, কাশ্মীরের, নি, ভয়"
26,"হয়ে, কথা, দিয়ে, একটা, বললে, নি, বড়ো, জন্যে, নে, চেয়ে"
27,"হয়ে, কথা, একটা, দিয়ে, বললে, ভালো, নি, করিয়া, এক, যায়"
28,"সভারসিক, পারবেশ্রীশ, রসিককে, বিপিনকে, লাগিলঅক্ষয়, যানা, প্রিয়দর্শন, চিরকৌমার্য, পরিচ্ছেদশ্রীশ, নভেল"
29,"কথা, হয়ে, একটা, বললে, করিয়া, দিয়ে, এক, অমিত, যায়, সময়"
